restaurant_name,restaurant_url,neighborhood,address,coordinates,lat,long,cuisine_type,service_style,meal_focus,description,vegan,gluten_free,dairy_free
Chez Philippe,https://www.peabodymemphis.com/dine/chez-philippe,Downtown Memphis,"2638, 149 Union Ave #4, Memphis, TN 38103",Point(-90.05160909 35.14280796),35.14280796,-90.05160909,"French, Fine Dining","Upscale, Fine Dining",Dinner,"Located inside The Peabody Hotel, Chez Philippe offers elegant French-inspired cuisine in a grand, opulent dining room. Known for sophisticated service and multi-course tasting menus. Gluten-free options are available upon request, with careful attention to dietary restrictions.",0,1,0
Cocozza American Italian,http://www.eatcocozza.com/,Harbor Town,"106 Harbor Town Square, Memphis, TN 38103",Point(-90.05392649 35.16126878),35.16126878,-90.05392649,"Italian, American","Casual, Family-style","Lunch, Dinner","Cocozza American Italian offers a vintage-inspired setting highlighting comforting Italian-American classics like lasagna, chicken parm, and pasta dishes. Gluten-free penne pasta is available, along with vegetarian pastas and salads, giving diners old-school Italian flavors with modern flexibility.",0,1,0
Corky’s BBQ,https://www.corkysbbq.com/locations/memphis,East Memphis,"5259 Poplar Ave, Memphis, TN 38119",Point(-89.88389426 35.1371832),35.1371832,-89.88389426,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Corky’s BBQ is a legendary Memphis institution with succulent ribs, pulled pork, and hickory-smoked flavors. The casual, down-home atmosphere and friendly service make it a go-to for locals and tourists. Vegetarian-friendly sides include baked beans, slaw, and salads. Many items are naturally gluten-free.",0,1,0
Curfew,http://www.curfewmemphis.com/,Downtown Memphis,"164 Union Ave, Memphis, TN 38103",Point(-90.05109871 35.14298186),35.14298186,-90.05109871,"Bar & Grill, American","Casual, Bar","Lunch, Dinner","Curfew, inside the Canopy Hotel, offers a modern bar and grill experience with shareable plates, hearty entrees, and inventive cocktails. Vegetarian options include salads and vegetable-based starters, providing variety for diverse dietary preferences.",0,1,0
Erling Jensen Small Bites Topgolf Swing Suites,https://www.swingsuitememphis.com/erling-jensen,East Memphis,"5069 Sanderlin Ave, Memphis, TN 38117",Point(-89.89228913 35.1166132),35.1166132,-89.89228913,"Tapas, American, Global","Casual, Small Plates","Lunch, Dinner","This spot combines small plates and golf simulation suites in a modern environment. The menu features chef-driven tapas with Southern and global influences, offering rich meats and lighter vegetarian plates. The flexibility of small bites accommodates diverse dietary needs.",0,1,0
ESCO Memphis Seafood and Tapas,https://escobaratlanta.com/,Downtown Memphis,"158 Lt. George W Lee Ave, Memphis, TN 38103",Point(-90.05248297 35.13924829),35.13924829,-90.05248297,"Seafood, Southern, Tapas","Casual, Small Plates","Lunch, Dinner","ESCO Memphis offers upscale seafood and Southern-inspired tapas. Naturally gluten-free dishes include lobster tail, crab claws, and shrimp. Vegetarian options such as salads and vegetable tapas are also available, making it ideal for mixed groups.",0,1,0
Fishbowl at the Pyramid,https://big-cypress.com/dining/fishbowl-at-the-pyramid/,Downtown Memphis,"1 Bass Pro Dr, Memphis, TN 38105",Point(-90.05164278 35.15562941),35.15562941,-90.05164278,"American, Sports Bar","Casual, Family-style","Lunch, Dinner","Fishbowl provides an underwater-themed sports bar experience inside Bass Pro Shops Pyramid, featuring casual fare like burgers, wings, and seafood platters. Vegetarian options include salads and sides, though the focus is on hearty American favorites.",0,0,0
Fleming's Prime Steakhouse and Wine Bar,https://www.flemingssteakhouse.com/Locations/TN/Memphis?y_source=1_MTU1MDMxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,East Memphis,"6245 Poplar Ave, Memphis, TN 38119",Point(-89.8556087 35.1011141),35.1011141,-89.8556087,"Steakhouse, American","Upscale, Fine Dining",Dinner,"Fleming's is an upscale steakhouse with prime beef cuts, seafood, and extensive wine options. Gluten-free items include salads, seafood, and desserts like GF chocolate cake. Staff are trained to handle dietary restrictions for an elevated dining experience.",0,1,0
Flight Restaurant and Wine Bar,http://www.flightmemphis.com/,Downtown Memphis,"39 S Main St, Memphis, TN 38103",Point(-90.05302293 35.14431248),35.14431248,-90.05302293,"Fine Dining, American","Upscale, Small Plates",Dinner,"Flight offers fine dining with small ""flights"" of dishes and wine, letting diners sample a variety of flavors. Gluten-free options are available, with staff attentive to dietary restrictions.",0,1,0
Flipside Memphis,https://www.flipsidememphis.com/,Midtown,"1349 Autumn Ave, Memphis, TN 38104",Point(-90.01420481 35.15110973),35.15110973,-90.01420481,"American, Bar Food","Casual, Bar","Lunch, Dinner","Flipside Memphis offers a lively, modern environment for casual dining and drinks. Menu features shareable plates, burgers, rice-bowls, and salads. Gluten-free and vegetarian options are clearly marked, making it inclusive for groups with diverse preferences.",0,1,0
Flying Saucer Draught Emporium,https://www.beerknurd.com/memphis-flying-saucer/,Downtown Memphis,"130 Peabody Pl, Memphis, TN 38103",Point(-90.09716052 35.29355105),35.29355105,-90.09716052,"Bar & Grill, American","Casual, Pub","Lunch, Dinner","Flying Saucer is known for an extensive craft beer selection in a casual pub setting. Food menu includes pretzels, burgers, flatbreads, gluten-free pizza crust, gluten-free garlic bread, and customizable GF salads, steaks, seafood, and chicken dishes. Vegetarian options include cheese plates and salads.",0,1,0
Folk's Folly Prime Steak House,http://www.folksfolly.com/,East Memphis,"551 S Mendenhall Rd, Memphis, TN 38117",Point(-89.8958107 35.11609656),35.11609656,-89.8958107,"Steakhouse, American","Upscale, Fine Dining",Dinner,"Folk’s Folly offers a classic steakhouse experience with premium beef cuts, seafood, and rich sides. While meat-focused, vegetarians can enjoy salads and sides. Many items are naturally gluten-free. The intimate setting suits celebrations and special occasions.",0,1,0
Germantown Commissary,https://www.commissarybbq.com/,Germantown,"2290 S Germantown Rd, Germantown, TN 38138",Point(-89.81009105 35.08658388),35.08658388,-89.81009105,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Germantown Commissary serves authentic Memphis barbecue in a rustic, welcoming space. Famous for slow-smoked ribs and pulled pork, most items are naturally gluten-free. Vegetarian options include classic Southern sides like baked beans, potato salad, and coleslaw.",0,1,0
Hammer and Ale,http://www.hammerandale.com/,Midtown,"921 Cooper St, Memphis, TN 38104",Point(-89.9906856 35.12058983),35.12058983,-89.9906856,"Bar & Grill, American","Casual, Pub","Lunch, Dinner",Hammer and Ale offers a cozy neighborhood bar with craft beers and pub fare. Vegetarian options include salads and veggie burgers. The friendly vibe and local beer selection make it great for casual gatherings.,0,0,0
Hog & Hominy,http://www.hogandhominy.com/,East Memphis,"707 W Brookhaven Cir, Memphis, TN 38117",Point(-89.89065238 35.11285553),35.11285553,-89.89065238,"Italian, Southern, Pizza","Casual, Family-style","Lunch, Dinner","Hog & Hominy blends Southern comfort with Italian classics, including wood-fired pizzas and inventive small plates. Gluten-free crusts and modifiable dishes are available for inclusivity.",0,1,0
Huey’s,https://hueyburger.com/,Cordova,"1771 N Germantown Pkwy, Cordova, TN 38016",Point(-89.79351281 35.17468744),35.17468744,-89.79351281,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Germantown,"7677 Farmington Blvd, Germantown, TN 38138",Point(-89.80699092 35.09470355),35.09470355,-89.80699092,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Millington,"8570 US-51, Millington, TN 38053",Point(-89.89090704 35.36045695),35.36045695,-89.89090704,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Midtown,"1927 Madison Ave, Memphis, TN 38104",Point(-89.99639594 35.13757083),35.13757083,-89.99639594,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,East Memphis,"4872 Poplar Ave, Memphis, TN 38117",Point(-89.89894255 35.11483728),35.11483728,-89.89894255,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Downtown Memphis,"77 S 2nd St, Memphis, TN 38103",Point(-90.05190173 35.14312511),35.14312511,-90.05190173,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Collierville,"2130 W Poplar Ave Suite 101, Collierville, TN 38017",Point(-89.73289404 35.05307422),35.05307422,-89.73289404,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,North Mississippi,"8179 McGregor Xing Suite 200, Olive Branch, MS 38654",Point(-89.84494881 34.97170868),34.97170868,-89.84494881,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Southaven,"7090 Malco Blvd, Southaven, MS 38671",Point(-89.9852376 34.96392552),34.96392552,-89.9852376,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,https://hueyburger.com/,Southwind,"7825 Winchester Rd, Memphis, TN 38125",Point(-89.80248468 35.04761282),35.04761282,-89.80248468,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Itta Bena,http://ittabenadining.com/,Beale Street,"145 Beale St, Memphis, TN 38103",Point(-90.05299528 35.1398292),35.1398292,-90.05299528,"Southern , Upscale",Fine Dining,"Dinner , Special Occasions","Located atop the Peabody Hotel, Itta Bena offers upscale Southern cuisine with a modern twist in an intimate, elegant setting. The menu highlights local ingredients, with options ranging from seafood to vegetarian dishes crafted with Southern flair. Gluten-free and dairy-free accommodations are available upon request, making it suitable for special occasions and those with dietary restrictions.",0,1,0
Jem,http://jemdining.com/,The Edge,"644 Madison Ave #102, Memphis, TN 38103",Point(-90.03917364 35.14177339),35.14177339,-90.03917364,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Jem features a relaxed bar and grill experience with a menu of hearty sandwiches, burgers, and creative bar snacks. The atmosphere is casual and inviting, popular for after-work hangouts. Vegetarian choices include salads and a veggie burger, and the kitchen is accommodating for gluten-free requests. The drink menu complements the food with a good range of local beers and classic cocktails.",0,1,0
King and Union Bar Grocery,https://www.toasttab.com/king-union-bar-grocery-185-union-avenue/v3,Downtown Memphis,"185 Union Ave, Memphis, TN 38103",Point(-90.0505522 35.14256354),35.14256354,-90.0505522,"American , Gastropub","Casual , Upscale Bar","Lunch, Dinner","King and Union is a unique combination of craft cocktail bar and gourmet grocery offering an artisanal experience. The small plates menu features shareable dishes with vegetarian options, perfect for pairing with their expertly crafted drinks. They offer a selection of items that are naturally gluten-free or can be made gluten-free. The atmosphere is stylish yet comfortable, appealing to those seeking quality food and drink with a curated vibe.",0,1,0
Kooky Canuck,https://www.kookycanuck.com/,Downtown Memphis,"87 S 2nd St, Memphis, TN 38103",Point(-90.05260374 35.14274853),35.14274853,-90.05260374,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Kooky Canuck is a lively American bar and grill known for generous portions and a diverse menu including burgers, steaks, and seafood. Vegetarian options like salads and veggie burgers are available, alongside gluten-free choices. The fun, casual atmosphere and friendly service make it a popular spot for groups and casual dining in Memphis.",0,1,0
Lafayette's Music Room,http://lafayettes.com/memphis/,Midtown,"2119 Madison Ave, Memphis, TN 38104",Point(-89.99083843 35.13654688),35.13654688,-89.99083843,"Southern , Live Music",Casual Dining,"Lunch, Dinner","Lafayette’s Music Room combines great Southern cooking with live music in an intimate venue. The menu includes traditional Southern dishes, with some vegetarian-friendly sides and options. Several dishes are listed as gluten-free, including Lettuce Wraps, Crispy Pork Belly, various salads such as the Grilled Salmon Salad and BLT Chopped Salad, and entrees like the Bone-In Pork Chop and Grilled Salmon. Guests enjoy local musical acts while dining in a cozy, laid-back environment, creating an authentic Memphis experience that blends food and culture.",0,1,0
Magnolia and May,https://www.magnoliamay.com/,East Memphis,"718 Mt Moriah Rd, Memphis, TN 38117",Point(-89.89443075 35.11147662),35.11147662,-89.89443075,"Southern , Bayou",Casual Dining,"Lunch, Dinner","Magnolia and May brings a fresh take on Southern Bayou cuisine with bold flavors and seasonal ingredients. The casual atmosphere pairs well with dishes like jambalaya and fried green tomatoes. Vegetarians will find options like vegetable sides and creative salads, while the kitchen is open to accommodating dietary preferences and restrictions, delivering a flavorful Southern dining experience.",0,1,0
McEwen's Memphis,http://www.mcewensmemphis.com/,Downtown Memphis,"120 Monroe Ave, Memphis, TN 38103",Point(-90.05190373 35.14419246),35.14419246,-90.05190373,"Southern , Contemporary",Fine Dining,"Dinner , Special Occasions","McEwen's Memphis offers a sophisticated dining experience with a seasonally driven menu focusing on local ingredients and creative dishes. The elegant atmosphere suits special occasions, with attentive service and options for vegetarian and gluten-free diners. The menu features expertly crafted entrees that highlight Southern flavors with a contemporary touch.",0,1,0
Memphis Chess Club,http://memphischessclub.com/,Downtown Memphis,"195 Madison Ave, Memphis, TN 38103",Point(-90.04967179 35.14442358),35.14442358,-90.04967179,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Memphis Chess Club is a laid-back bar and grill known for its friendly vibe and diverse menu of burgers, sandwiches, and appetizers. Vegetarian options such as salads and veggie burgers are available, and the venue often hosts chess games and community events, making it a unique spot for socializing and casual dining.",0,0,0
Owen Brennan's Restaurant,http://brennansmemphis.com/,East Memphis,"6150 Poplar Ave #150, Memphis, TN 38119",Point(-89.85673758 35.10226392),35.10226392,-89.85673758,"Seafood , Steakhouse",Fine Dining,"Dinner , Special Occasions","Owen Brennan’s Restaurant combines classic seafood and steakhouse fare with Southern hospitality in an elegant dining room. The menu offers fresh seafood, premium steaks, and vegetarian dishes, with gluten-free accommodations on request. Known for its refined atmosphere and quality service, it’s a go-to for celebratory dinners and upscale dining experiences.",0,1,0
Paulette’s Restaurant,http://www.paulettes.net/,Downtown Memphis,"50 Harbor Town Square, Memphis, TN 38103",Point(-90.05554544 35.16138783),35.16138783,-90.05554544,"Southern , Upscale",Fine Dining,"Dinner , Special Occasions","Paulette’s Restaurant serves upscale Southern cuisine with a focus on seasonal ingredients and sophisticated presentations. The elegant setting pairs well with the creative menu, which includes vegetarian and gluten-free options. Paulette’s is known for attentive service and a well-curated wine list, perfect for special occasions and intimate dinners.",0,1,0
Poparoos,http://poparoos.com/,Midtown,"726 North Pkwy, Memphis, TN 38107",Point(-90.09883089 35.97157218),35.97157218,-90.09883089,"Snack , Dessert","Casual , Quick Service","Snack , Light Meals","Poparoos is a gourmet popcorn bar offering a wide variety of handcrafted popcorn flavors, many of which are naturally gluten-free. With a playful and welcoming atmosphere, it’s a great spot for snacking, gift shopping, or hosting events. The menu includes sweet, savory, and seasonal blends, making it a fun and flavorful destination for all ages.",0,1,0
Porch and Parlor,http://www.porchandparlor.com/,Midtown,"2125 Madison Ave, Memphis, TN 38104",Point(-89.99036755 35.13655018),35.13655018,-89.99036755,"Southern , American","Casual , Upscale",Dinner,"Porch and Parlor combines Southern-inspired cuisine with craft cocktails in a cozy, stylish setting. The menu features locally sourced ingredients and offers vegetarian and gluten-free dishes. The inviting ambiance and creative drinks list make it a great spot for dinner or a casual night out.",0,1,0
R.P. Tracks Restaurant and Bar,https://rptracks.com/,—,"3547 Walker Ave, Memphis, TN 38111",Point(-89.94418272 35.11642895),35.11642895,-89.94418272,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","R.P. Tracks Restaurant and Bar is a lively Memphis staple known for its diverse menu of burgers, sandwiches, and Southern-inspired favorites, alongside vegetarian and gluten-free options. A highlight is the legendary BBQ Tofu Nachos, a massive plate loaded with smoky Memphis-style BBQ tofu and hearty black bean chili. Guests can veganize this famous dish by requesting a few key omissions, creating a flavorful tower of tortilla chips topped with BBQ tofu, chili, lettuce, tomatoes, and jalapeños. With a friendly atmosphere and a solid drink selection, R.P. Tracks remains a go-to spot for casual dining and social gatherings.",0,1,0
Restaurant Iris,http://www.restaurantiris.com/,Midtown,"4550 Poplar Ave, Memphis, TN 38117",Point(-89.91031763 35.12081701),35.12081701,-89.91031763,"Contemporary , Fine Dining",Fine Dining,"Dinner , Special Occasions","Restaurant Iris is a contemporary fine dining establishment featuring a seasonally inspired menu with a focus on fresh, local ingredients. The elegant ambiance and attentive service provide a refined experience. Vegetarian and gluten-free options are thoughtfully incorporated, making it a standout choice for special occasions or an elevated night out.",0,1,0
Ronnie Grisanti’s Italian Restaurant,https://www.ronniegrisanti.com/,East Memphis,"6150 Poplar Ave #122, Memphis, TN 38119",Point(-89.85748874 35.10292666),35.10292666,-89.85748874,"Italian , Classic","Casual , Family Style","Lunch, Dinner","Ronnie Grisanti’s Italian Restaurant offers classic Italian dishes crafted with fresh ingredients and traditional recipes. The cozy, family-friendly atmosphere complements a menu featuring pasta, seafood, and meat entrees, with vegetarian and gluten-free options available upon request. Known for generous portions and a welcoming vibe, it’s a favorite for authentic Italian dining in Memphis.",0,1,0
Sekisui Midtown,http://sekisuiusa.com/,Midtown,"25 S Belvedere Blvd, Memphis, TN 38104",Point(-90.00487418 35.13722391),35.13722391,-90.00487418,"Japanese , Sushi","Casual , Upscale","Lunch, Dinner","Sekisui Midtown is a modern Japanese restaurant specializing in sushi and creative small plates. The sleek setting complements an extensive menu featuring fresh sushi, sashimi, and cooked dishes. Vegetarian sushi rolls and gluten-free options are available, catering to a range of dietary preferences. It’s popular for both casual dining and special occasions.",0,1,1
Sekisui Pacific Rim and Sushi Bistro,http://www.sekisuiusa.com/web/index.php/pacific-rim-poplar,East Memphis,"4724 Poplar Ave, Memphis, TN 38117",Point(-89.90503819 35.11916553),35.11916553,-89.90503819,"Japanese , Sushi","Casual , Upscale","Lunch, Dinner","Sekisui Pacific Rim and Sushi Bistro blends traditional Japanese sushi with Pacific Rim influences, offering a diverse menu in a stylish atmosphere. Vegetarian and gluten-free options are included, highlighting fresh seafood and innovative flavor combinations. The restaurant is praised for its attentive service and vibrant ambiance, making it a top choice for sushi lovers.",0,1,1
Silky O'Sullivan's,https://www.silkyosullivans.com/,Beale Street,"Located on the corner of Beale St &, 183 Beale Street, S B.B. King Blvd, Memphis, TN 38103",Point(-90.05220895 35.13955379),35.13955379,-90.05220895,"Irish , Pub",Casual Dining,"Lunch, Dinner","Silky O’Sullivans is a classic Irish pub and restaurant featuring hearty pub fare and a warm, inviting atmosphere. The menu includes traditional Irish dishes alongside Southern favorites, with vegetarian and gluten-free options available. Known for its friendly vibe and live music, it’s a popular gathering place for locals and visitors seeking a casual dining experience.",0,1,0
Soul Fish Cafe,https://soulfishcafe.com/,Midtown,"862 Cooper St, Memphis, TN 38104",Point(-89.99008455 35.12233901),35.12233901,-89.99008455,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Soul Fish Cafe,https://soulfishcafe.com/,East Memphis,"4720 Poplar Ave, Memphis, TN 38117",Point(-89.90491056 35.11591375),35.11591375,-89.90491056,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Soul Fish Cafe,https://soulfishcafe.com/,Germantown,"3160 Village Shops Dr, Germantown, TN 38138",Point(-89.75769138 35.06486173),35.06486173,-89.75769138,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Terrace at The River Inn,http://terracememphis.com/,Harbor Town,"50 Harbor Town Square, Memphis, TN 38103",Point(-90.05505634 35.16143951),35.16143951,-90.05505634,"Southern , American",Fine Dining,"Lunch, Dinner","The Terrace at The River Inn provides elegant dining with views of the Mississippi River. The menu features Southern and American dishes with vegetarian and gluten-free options, perfect for hotel guests and visitors. The refined atmosphere and attentive service make it ideal for relaxed meals with a scenic backdrop.",0,1,0
The Beauty Shop,http://www.thebeautyshoprestaurant.com/,Midtown,"966 Cooper St #5611, Memphis, TN 38104",Point(-89.99080571 35.12385124),35.12385124,-89.99080571,"Southern , American","Casual , Upscale","Lunch, Dinner","The Beauty Shop combines eclectic décor with a menu of Southern-inspired dishes and creative cocktails. Located in a historic beauty salon setting, it offers vegetarian and gluten-free options, emphasizing fresh, local ingredients. The vibrant atmosphere and inventive cuisine make it a popular spot for casual dinners and weekend gatherings.",0,1,0
The Brass Door Irish Pub,http://thebrassdoor.com/,Terrace at River Inn,"152 Madison Ave, Memphis, TN 38103",Point(-90.05097146 35.14529652),35.14529652,-90.05097146,"Irish , Pub",Casual Dining,"Lunch, Dinner","The Brass Door Irish Pub features traditional Irish fare alongside American pub classics in a cozy, welcoming setting. The menu includes vegetarian and gluten-free options, making it accessible to many diners. Known for its friendly vibe and occasional live music, it’s a favored spot for casual dining and social drinks.",0,1,0
The Lookout at the Pyramid,https://big-cypress.com/dining/the-lookout-at-the-pyramid/,Downtown Memphis,"1 Bass Pro Dr, Memphis, TN 38105",Point(-90.05205157 35.15585416),35.15585416,-90.05205157,"American , Bar & Grill","Casual , Upscale","Lunch, Dinner","Located atop the iconic Memphis Pyramid, The Lookout offers panoramic views alongside a menu of American bar and grill fare. The restaurant features vegetarian and gluten-free options and a wide selection of craft beers. It’s popular for its unique setting and vibrant atmosphere, making it a must-visit for locals and tourists alike.",0,1,0
The Majestic Grille,http://www.majesticgrille.com/,Downtown Memphis,"145 S Main St, Memphis, TN 38103",Point(-90.05456353 35.14155308),35.14155308,-90.05456353,"American , Upscale",Fine Dining,"Dinner , Special Occasions","The Majestic Grille blends historic ambiance with upscale American cuisine, featuring fresh seafood, steaks, and seasonal dishes. Vegetarian and gluten-free options are thoughtfully prepared to accommodate dietary needs. The elegant setting and attentive service make it ideal for special occasions or refined dining experiences.",0,1,0
The Peabody,http://peabodymemphis.com/dine/,Downtown Memphis,"149 Union Ave, Memphis, TN 38103",Point(-90.05199423 35.14281734),35.14281734,-90.05199423,"Southern , American",Fine Dining,"Lunch, Dinner","The Peabody’s restaurant offers classic Southern and American dishes in an elegant, historic hotel setting. The menu includes vegetarian and gluten-free options, showcasing local flavors and high-quality ingredients. Known for its iconic lobby and sophisticated atmosphere, it’s a premier dining destination in Memphis.",0,1,0
The Second Line,http://www.secondlinememphis.com/,Midtown,"2144 Monroe Ave, Memphis, TN 38104",Point(-89.99008148 35.13556628),35.13556628,-89.99008148,"Southern , BBQ",Casual Dining,"Lunch, Dinner","The Second Line combines authentic BBQ with lively jazz music, creating a festive dining atmosphere. The menu features smoked meats and Southern sides, with some vegetarian and gluten-free options available. It’s a favorite spot for those looking to enjoy Memphis culture through food and live music.",0,1,0
Tin Roof Memphis,https://tinroofmemphis.com/,Beale Street,"315 Beale St, Memphis, TN 38103",Point(-90.05090338 35.1394184),35.1394184,-90.05090338,"American , Bar & Grill","Casual , Live Music","Lunch, Dinner","Tin Roof Memphis is a casual live music venue offering a menu of bar snacks, sandwiches, and Southern-inspired dishes. Vegetarian and gluten-free options are available. The venue is known for its energetic atmosphere, regular live performances, and friendly crowd, making it a hotspot for music lovers.",0,1,0
Tsunami Restaurant,http://www.tsunamimemphis.com/,Midtown,"928 Cooper St, Memphis, TN 38104",Point(-89.99085013 35.12046759),35.12046759,-89.99085013,"Japanese , Sushi , Asian Fusion","Casual , Upscale","Lunch, Dinner","Tsunami Restaurant provides a stylish dining experience with a menu featuring sushi, sashimi, and Asian fusion dishes. It offers vegetarian rolls and gluten-free options, catering to diverse dietary preferences. The sleek design and attentive service make it a top choice for sushi and Japanese cuisine in Memphis.",0,1,1
Tug's Restaurant,http://www.tugsmemphis.com/,Downtown Memphis,"51 Harbor Town Square, Memphis, TN 38103",Point(-90.05515695 35.1610237),35.1610237,-90.05515695,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Tug’s Restaurant is a popular neighborhood bar and grill known for hearty American classics, burgers, and sandwiches. It offers vegetarian and gluten-free options, appealing to a wide range of diners. The casual, friendly atmosphere makes it a local favorite for relaxed meals and social gatherings.",0,1,0
Young Avenue Deli,http://www.youngavenuedeli.com/,Midtown,"2119 Young Ave, Memphis, TN 38104",Point(-89.99155443 35.11946015),35.11946015,-89.99155443,"Deli , Sandwiches","Casual , Neighborhood","Lunch, Dinner","Young Avenue Deli is a beloved Memphis spot known for its creative sandwiches, hearty deli classics, and casual vibe. The menu includes vegetarian and gluten-free options, with fresh ingredients and generous portions. It's a favorite for laid-back lunches and dinners.",0,1,0
America’s Incredible Pizza Company,https://incrediblepizza.com/,Cordova,"1245 N Germantown Pkwy Suite 104, Cordova, TN 38016",Point(-89.79772398 35.15990659),35.15990659,-89.79772398,"American , Buffet","Family , Casual","Lunch, Dinner","America’s Incredible Pizza Company combines a 100‑item buffet—featuring over 30 pizzas, pastas, salads, desserts, and more—with a full indoor entertainment center including arcade games, go‑karts, mini‑golf, and rides. Guests can order custom pizzas with gluten‑free crust and vegan cheese, and buffet items traditionally suit various dietary preferences upon request.",1,1,1
Margie's 901 Homemade Ice Cream and Cakes,https://sites.google.com/site/margies901homemadeicecream/,Downtown Memphis,"125 S Main St, Memphis, TN 38103",Point(-90.05442314 35.14172106),35.14172106,-90.05442314,"Dessert , Ice Cream","Quick Service , Casual","Snack , Dessert","Margie's 901 is a beloved dessert spot offering homemade ice cream and cakes made with local ingredients. Vegan and dairy-free ice cream flavors are often available, ensuring all dessert lovers can indulge. The cozy shop atmosphere makes it a perfect treat destination for families and anyone with a sweet tooth seeking quality, handcrafted desserts.",1,1,1
Westy’s,https://www.westysmemphis.com/menu,Downtown Memphis,"346 N Main St, Memphis, TN 38103",Point(-90.04895513 35.15426968),35.15426968,-90.04895513,"American , Comfort","Casual , Late-Night","Lunch, Dinner, Late Night","Westy’s in Memphis serves up funky charm and late-night comfort food with a twist. Known for its wild rice dishes and gluten-free fried catfish and shrimp, it also offers vegan-friendly options like sautéed veggies and rice bowls. With a quirky vibe, friendly staff, and generous portions—including the famous hot fudge pie—it’s a welcoming spot for diverse diets and lively gatherings, open daily until 2 AM.",1,1,1
